Afghanistan,$3213400.00
Israel,$3075000.00
Pakistan,$2965000.00
Iraq,$2360100.00
Egypt,$1557300.00
Kenya,$751400.00
Jordan,$675700.00
Nigeria,$660500.00
Ethiopia,$608300.00
Tanzania,$571900.00
